image,count
indoor_049.jpg,13
urban_008.jpg,13
urban_068.jpg,13
nature_082.jpg,13
nature_046.jpg,13
urban_020.jpg,13
nature_044.jpg,13
nature_083.jpg,13
indoor_027.jpg,12
indoor_098.jpg,12
indoor_099.jpg,12
indoor_087.jpg,12
urban_058.jpg,12
urban_007.jpg,12
urban_063.jpg,12
urban_001.jpg,12
urban_069.jpg,12
indoor_001.jpg,11
